省,市,县,县代码,basin_area,OOIP,G_DSA,G_EOR,G_DSA_low,G_DSA_high,G_EOR_low,G_EOR_high
安徽省,合肥市,庐江县,340124.0,378.5252257460964,,10.509136377820148,0.0,6.990209110968693,15.245474761167056,0.0,0.0
安徽省,合肥市,庐阳区,340103.0,137.03717878525424,,3.8046140725425897,0.0,2.5306597038493637,5.519306794928122,0.0,0.0
安徽省,合肥市,蜀山区,340104.0,647.3956361172118,,17.973885404734006,0.0,11.95542744890517,26.074494273031757,0.0,0.0
安徽省,合肥市,瑶海区,340102.0,223.4379044617774,,6.2033894975819415,0.0,4.126218199661363,8.999180771759207,0.0,0.0
安徽省,合肥市,长丰县,340121.0,1840.9636262566166,,51.11135665213093,0.0,33.996996337181834,74.14661584310876,0.0,0.0
安徽省,淮北市,杜集区,340602.0,238.85204591894058,,6.631338029680557,0.0,4.410870488922255,9.62000043863094,0.0,0.0
安徽省,淮北市,烈山区,340604.0,364.0991932521559,,10.108621081723667,0.0,6.7238041875570245,14.664452152022191,0.0,0.0
安徽省,淮北市,濉溪县,340621.0,1984.6889979042471,,55.10165750624359,0.0,36.65116661180055,79.93529616599713,0.0,0.0
安徽省,淮北市,相山区,340603.0,141.91887473299042,,3.9401464095716245,0.0,2.6208097735668674,5.715921887663908,0.0,0.0
安徽省,淮南市,八公山区,340405.0,67.51811983458525,,1.8745306284860657,0.0,1.2468542235010107,2.719358504656377,0.0,0.0
安徽省,淮南市,大通区,340402.0,312.03050202376966,,8.663018675555993,0.0,5.762253899584877,12.567334538778026,0.0,0.0
安徽省,淮南市,凤台县,340421.0,1089.3662028260262,,30.244478339115968,0.0,20.117278950607396,43.87529237481433,0.0,0.0
安徽省,淮南市,潘集区,340406.0,601.0303184368375,,16.686627875876873,0.0,11.099201115657543,24.207085623855548,0.0,0.0
安徽省,淮南市,寿县,340422.0,2952.8436566370033,,81.98089474436942,0.0,54.53003717574021,118.92867470641995,0.0,0.0
安徽省,淮南市,田家庵区,340403.0,253.04507206751663,,7.025384284102192,0.0,4.6729724941464506,10.191638488661036,0.0,0.0
安徽省,淮南市,谢家集区,340404.0,271.01092370715736,,7.524176893372871,0.0,5.004747105918209,10.915230786096815,0.0,0.0
安徽省,黄山市,黄山区,341003.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,徽州区,341004.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,祁门县,341024.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,歙县,341021.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,屯溪区,341002.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,休宁县,341022.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,黄山市,黟县,341023.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,六安市,霍邱县,341522.0,3234.6393978104397,,89.80449452914834,0.0,59.73394704330614,130.2782745947658,0.0,0.0
安徽省,六安市,霍山县,341525.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,六安市,金安区,341502.0,1138.9214414539306,,31.620298827564458,0.0,21.032413417194732,45.87117821913607,0.0,0.0
安徽省,六安市,金寨县,341524.0,74.36834401722767,,2.0647159457582083,0.0,1.3733570197130778,2.995258002976373,0.0,0.0
安徽省,六安市,舒城县,341523.0,311.7888256715085,,8.65630892526075,0.0,5.757790872751852,12.55760078663111,0.0,0.0
安徽省,六安市,叶集区,341504.0,568.1941716877146,,15.77498574257261,0.0,10.492817401804912,22.884577604658116,0.0,0.0
安徽省,六安市,裕安区,341503.0,1413.8026266939971,,39.251927228791274,0.0,26.108632476866745,56.94228758479858,0.0,0.0
安徽省,马鞍山市,博望区,340506.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,马鞍山市,当涂县,340521.0,,,0.0,0.0,0.0,0.0,0.0,0.0
安徽省,马鞍山市,含山县,340522.0,,,0.0,0.0,0.0,0.0,0.0,0.0
