省,市,县,县代码,POP_2020_SSP2,POP_2025_SSP2,POP_2030_SSP2,POP_2035_SSP2,POP_2040_SSP2,POP_2045_SSP2,POP_2050_SSP2
安徽省,安庆市,大观区,340803.0,221504.0,224280.0,225377.0,224533.0,222008.0,217894.0,212443.0
安徽省,安庆市,怀宁县,340822.0,579658.0,588006.0,590033.0,586586.0,578653.0,566392.0,551718.0
安徽省,安庆市,潜山市,340882.0,535406.0,535125.0,530641.0,522720.0,511541.0,498084.0,481085.0
安徽省,安庆市,宿松县,340826.0,638967.0,642198.0,639176.0,632126.0,621027.0,607233.0,590408.0
安徽省,安庆市,太湖县,340825.0,530684.0,527339.0,520581.0,510240.0,496061.0,480467.0,462202.0
安徽省,安庆市,桐城市,340881.0,666986.0,661445.0,652339.0,640367.0,622690.0,601843.0,577087.0
安徽省,安庆市,望江县,340827.0,553708.0,561238.0,562525.0,558952.0,551205.0,539772.0,526314.0
安徽省,安庆市,宜秀区,340811.0,296376.0,300872.0,303122.0,302331.0,298103.0,292456.0,285161.0
安徽省,安庆市,迎江区,340802.0,292980.0,296773.0,298569.0,296543.0,293019.0,287557.0,280310.0
安徽省,安庆市,岳西县,340828.0,312335.0,303408.0,295273.0,286687.0,277086.0,267164.0,256171.0
安徽省,蚌埠市,蚌山区,340303.0,119345.0,121804.0,122632.0,122201.0,121159.0,118675.0,115184.0
安徽省,蚌埠市,固镇县,340323.0,534451.0,531377.0,524883.0,514996.0,501602.0,484887.0,465430.0
安徽省,蚌埠市,怀远县,340321.0,894170.0,884204.0,869930.0,850203.0,824960.0,795118.0,759473.0
安徽省,蚌埠市,淮上区,340311.0,266691.0,267964.0,267201.0,264014.0,258698.0,251473.0,243645.0
安徽省,蚌埠市,龙子湖区,340302.0,203711.0,209120.0,213260.0,214170.0,212561.0,208214.0,201558.0
安徽省,蚌埠市,五河县,340322.0,527455.0,517156.0,504476.0,490773.0,473638.0,453072.0,429735.0
安徽省,蚌埠市,禹会区,340304.0,592344.0,605089.0,616064.0,615628.0,611725.0,601315.0,586087.0
安徽省,亳州市,利辛县,341623.0,1110084.0,1106197.0,1094146.0,1076170.0,1050928.0,1018486.0,978928.0
安徽省,亳州市,蒙城县,341622.0,1015495.0,1003330.0,985989.0,963896.0,934435.0,897752.0,853988.0
安徽省,亳州市,谯城区,341602.0,1394666.0,1394248.0,1384298.0,1367108.0,1339450.0,1303565.0,1259344.0
安徽省,亳州市,涡阳县,341621.0,1161509.0,1151548.0,1134982.0,1112227.0,1082858.0,1046580.0,1002571.0
安徽省,池州市,东至县,341721.0,468709.0,461015.0,451350.0,439128.0,423906.0,408033.0,389952.0
安徽省,池州市,贵池区,341702.0,606328.0,606365.0,601063.0,593249.0,580281.0,564695.0,545886.0
安徽省,池州市,青阳县,341723.0,231602.0,229175.0,225116.0,220158.0,213918.0,206312.0,197690.0
安徽省,池州市,石台县,341722.0,84549.0,80863.0,77492.0,73970.0,70290.0,66876.0,63304.0
安徽省,滁州市,定远县,341125.0,743572.0,727354.0,709195.0,688472.0,665089.0,636754.0,603193.0
安徽省,滁州市,凤阳县,341126.0,599984.0,585670.0,569981.0,552496.0,532475.0,509248.0,483456.0
安徽省,滁州市,来安县,341122.0,411516.0,397968.0,383686.0,368707.0,352523.0,333265.0,313411.0
安徽省,滁州市,琅琊区,341102.0,348926.0,357570.0,361200.0,359250.0,353359.0,346232.0,336857.0
安徽省,滁州市,明光市,341182.0,514034.0,500143.0,485592.0,470175.0,452738.0,432095.0,408268.0
安徽省,滁州市,南谯区,341103.0,215014.0,208687.0,202423.0,195280.0,187237.0,178041.0,167854.0
安徽省,滁州市,全椒县,341124.0,364880.0,352703.0,340278.0,326893.0,312073.0,295519.0,277080.0
安徽省,滁州市,天长市,341181.0,594217.0,577855.0,559586.0,539493.0,517233.0,491690.0,464053.0
安徽省,阜阳市,阜南县,341225.0,1047558.0,1040883.0,1025710.0,1003916.0,974585.0,939803.0,898871.0
安徽省,阜阳市,界首市,341282.0,547857.0,552898.0,551753.0,544541.0,533952.0,520731.0,503631.0
安徽省,阜阳市,临泉县,341221.0,1504570.0,1510428.0,1500588.0,1482236.0,1453389.0,1413121.0,1361888.0
安徽省,阜阳市,太和县,341222.0,1366698.0,1383344.0,1386723.0,1377398.0,1357696.0,1330783.0,1297990.0
安徽省,阜阳市,颍东区,341203.0,478257.0,483373.0,482272.0,477136.0,468003.0,455999.0,441144.0
安徽省,阜阳市,颍泉区,341204.0,628243.0,641482.0,647488.0,644623.0,636215.0,623730.0,607585.0
安徽省,阜阳市,颍上县,341226.0,1161747.0,1164527.0,1156527.0,1140610.0,1115535.0,1084385.0,1045288.0
安徽省,阜阳市,颍州区,341202.0,714126.0,722864.0,721544.0,714304.0,701692.0,685147.0,663024.0
安徽省,合肥市,包河区,340111.0,944691.0,965820.0,980323.0,985056.0,971117.0,950808.0,935478.0
安徽省,合肥市,巢湖市,340181.0,916871.0,909488.0,899041.0,882597.0,860749.0,836171.0,807235.0
安徽省,合肥市,肥东县,340122.0,889599.0,874575.0,856068.0,832460.0,804823.0,772453.0,737897.0
安徽省,合肥市,肥西县,340123.0,735603.0,725992.0,711867.0,694782.0,673610.0,648653.0,622086.0
安徽省,合肥市,庐江县,340124.0,947438.0,931736.0,910965.0,886207.0,856277.0,820605.0,779523.0
安徽省,合肥市,庐阳区,340103.0,658362.0,674918.0,682595.0,685693.0,683407.0,674201.0,655846.0
安徽省,合肥市,蜀山区,340104.0,1381876.0,1396642.0,1406720.0,1399042.0,1378900.0,1353131.0,1322184.0
