省,市,县,县代码,GDP_2020_SSP1,GDP_2025_SSP1,GDP_2030_SSP1,GDP_2035_SSP1,GDP_2040_SSP1,GDP_2045_SSP1,GDP_2050_SSP1
安徽省,安庆市,大观区,340803.0,3696690176.0,6939382272.0,9088754688.0,11453322240.0,13611063296.0,15529857024.0,16971836416.0
安徽省,安庆市,怀宁县,340822.0,4426906112.0,3339336960.0,4373246976.0,5510886400.0,6549217792.0,7472911360.0,8166875136.0
安徽省,安庆市,潜山市,340882.0,2613739520.0,2458789120.0,3219988736.0,4057502464.0,4821778944.0,5501641216.0,6012361728.0
安徽省,安庆市,宿松县,340826.0,3570695168.0,2002121600.0,2627989504.0,3317040128.0,3943845376.0,4497507328.0,4916959232.0
安徽省,安庆市,太湖县,340825.0,2305593088.0,1934199936.0,2532646400.0,3190337536.0,3789920256.0,4322062336.0,4721462272.0
安徽省,安庆市,桐城市,340881.0,3391027712.0,5313128448.0,6958109696.0,8767789056.0,10419314688.0,11888251904.0,12991508480.0
安徽省,安庆市,望江县,340827.0,3251723264.0,1982912128.0,2597507328.0,3273460992.0,3890144512.0,4438455296.0,4850403328.0
安徽省,安庆市,宜秀区,340811.0,8294320640.0,5338205696.0,6991058432.0,8809711616.0,10469596160.0,11946208256.0,13055623168.0
安徽省,安庆市,迎江区,340802.0,8684507136.0,6125879808.0,8022884864.0,10110120960.0,12014822400.0,13709254656.0,14982080512.0
安徽省,安庆市,岳西县,340828.0,1162607872.0,1327240960.0,1737894272.0,2189452032.0,2601077760.0,2966501888.0,3240836096.0
安徽省,蚌埠市,蚌山区,340303.0,9035249664.0,18883565568.0,24730548224.0,31164317696.0,37036453888.0,42260480000.0,46185439232.0
安徽省,蚌埠市,固镇县,340323.0,2952295680.0,2831296768.0,3708303872.0,4673533440.0,5554392576.0,6337803264.0,6926678528.0
安徽省,蚌埠市,怀远县,340321.0,2941004288.0,4394948096.0,5755630592.0,7252688896.0,8618863616.0,9834233856.0,10746916864.0
安徽省,蚌埠市,淮上区,340311.0,3408388352.0,2749269760.0,3600535040.0,4537230848.0,5392159232.0,6152728064.0,6724164608.0
安徽省,蚌埠市,龙子湖区,340302.0,6183977984.0,7734160896.0,10131011584.0,12767886336.0,15173700608.0,17313980416.0,18922690560.0
安徽省,蚌埠市,五河县,340322.0,3459422720.0,3499749632.0,4589894656.0,5791518208.0,6888346624.0,7863790080.0,8602797056.0
安徽省,蚌埠市,禹会区,340304.0,9099094016.0,10199518208.0,13358730240.0,16835216384.0,20008271872.0,22831491072.0,24952520704.0
安徽省,亳州市,利辛县,341623.0,3313942016.0,4172075008.0,5464415744.0,6886587392.0,8184599040.0,9339329536.0,10207367168.0
安徽省,亳州市,蒙城县,341622.0,5008774656.0,7323870208.0,9592948736.0,12090099712.0,14369245184.0,16396777472.0,17921310720.0
安徽省,亳州市,谯城区,341602.0,18608400384.0,20574556160.0,27010762752.0,34109906944.0,40588767232.0,46348992512.0,50735079424.0
安徽省,亳州市,涡阳县,341621.0,6471478784.0,7898211328.0,10393368576.0,13151731712.0,15668847616.0,17905504256.0,19629965312.0
安徽省,池州市,东至县,341721.0,1428249088.0,1815797760.0,2382580992.0,3007836672.0,3578273792.0,4083432960.0,4466488320.0
安徽省,池州市,贵池区,341702.0,5394160640.0,3867937024.0,5064259072.0,6380368896.0,7581040640.0,8648484864.0,9449837568.0
安徽省,池州市,青阳县,341723.0,434976064.0,1318858752.0,1726525696.0,2174950656.0,2583926272.0,2947332096.0,3220143104.0
安徽省,池州市,石台县,341722.0,265642400.0,414801568.0,542511360.0,682943296.0,811011008.0,924075392.0,1009377664.0
安徽省,滁州市,定远县,341125.0,4587250176.0,4543104000.0,5949746688.0,7497486336.0,8909973504.0,10166490112.0,11110364160.0
安徽省,滁州市,凤阳县,341126.0,3942846720.0,3498018304.0,4581075968.0,5772752896.0,6860265472.0,7827614208.0,8554351616.0
安徽省,滁州市,来安县,341122.0,3405577728.0,3469191168.0,4554578944.0,5752949248.0,6846938112.0,7819586560.0,8560972288.0
安徽省,滁州市,琅琊区,341102.0,18802429952.0,12746507264.0,16710204416.0,21077196800.0,25063409664.0,28609312768.0,31288920064.0
安徽省,滁州市,明光市,341182.0,2693801984.0,6778711040.0,8881081344.0,11195642880.0,13308072960.0,15186993152.0,16601854976.0
安徽省,滁州市,南谯区,341103.0,4939810304.0,4087072768.0,5359759872.0,6762646528.0,8043233280.0,9182199808.0,10044594176.0
安徽省,滁州市,全椒县,341124.0,5591463936.0,4654943744.0,6098612224.0,7687928320.0,9138568192.0,10429006848.0,11400664064.0
安徽省,滁州市,天长市,341181.0,4877631488.0,5670852096.0,7461012480.0,9442153472.0,11251211264.0,12859759616.0,14099631104.0
安徽省,阜阳市,阜南县,341225.0,6097376256.0,4689358848.0,6154146304.0,7769281536.0,9243317248.0,10553963520.0,11550077952.0
安徽省,阜阳市,界首市,341282.0,5786496000.0,6631623168.0,8750292992.0,11098573824.0,13241299968.0,15143980032.0,16631562240.0
安徽省,阜阳市,临泉县,341221.0,8729617408.0,7999212544.0,10527630336.0,13323149312.0,15874167808.0,18140862464.0,19889690624.0
安徽省,阜阳市,太和县,341222.0,11378834432.0,8608458752.0,11299942400.0,14268269568.0,16977231872.0,19385825280.0,21218547712.0
安徽省,阜阳市,颍东区,341203.0,11549790208.0,6874806272.0,9003474944.0,11345773568.0,13483593728.0,15385475072.0,16814395392.0
安徽省,阜阳市,颍泉区,341204.0,8194901504.0,5362952704.0,7024667136.0,8853450752.0,10522572800.0,12007426048.0,13124057088.0
安徽省,阜阳市,颍上县,341226.0,6459526656.0,8272107520.0,10834202624.0,13653655552.0,16226731008.0,18515929088.0,20236380160.0
安徽省,阜阳市,颍州区,341202.0,20109895680.0,15459250176.0,20246851584.0,25515163648.0,30323556352.0,34601230336.0,37815926784.0
安徽省,合肥市,包河区,340111.0,74175406080.0,53923811328.0,70620405760.0,88992464896.0,105760587776.0,120677761024.0,131885531136.0
安徽省,合肥市,巢湖市,340181.0,9908787200.0,8298752512.0,10868097024.0,13695185920.0,16275328000.0,18570510336.0,20294696960.0
安徽省,合肥市,肥东县,340122.0,18541785088.0,12258916352.0,16054604800.0,20231106560.0,24042989568.0,27434110976.0,29981888512.0
安徽省,合肥市,肥西县,340123.0,14803538944.0,13503125504.0,17684148224.0,22284761088.0,26483767296.0,30219327488.0,33025945600.0
安徽省,合肥市,庐江县,340124.0,11485622272.0,6960733696.0,9115866112.0,11487266816.0,13651570688.0,15576907776.0,17023183872.0
安徽省,合肥市,庐阳区,340103.0,38448504832.0,40430305280.0,52950650880.0,66724941824.0,79297609728.0,90481180672.0,98884403200.0
安徽省,合肥市,蜀山区,340104.0,71108902912.0,58937061376.0,77185966080.0,97266245632.0,115593617408.0,131898220544.0,144148267008.0
安徽省,合肥市,瑶海区,340102.0,84042031104.0,59705126912.0,78191837184.0,98533826560.0,117100027904.0,133617115136.0,146026807296.0
安徽省,合肥市,长丰县,340121.0,8027946496.0,7191298560.0,9417908224.0,11867907072.0,14104029184.0,16093331456.0,17587986432.0
安徽省,淮北市,杜集区,340602.0,4279993344.0,3151851008.0,4131933184.0,5212008448.0,6197871616.0,7074622464.0,7737355776.0
安徽省,淮北市,烈山区,340604.0,5116809216.0,2765154560.0,3622920192.0,4567250944.0,5429173248.0,6195949568.0,6773493248.0
安徽省,淮北市,濉溪县,340621.0,7922540032.0,7617735168.0,9982452736.0,12586094592.0,14962416640.0,17076176896.0,18669641728.0
