省,市,县,县代码,GDP_2020_SSP3,GDP_2025_SSP3,GDP_2030_SSP3,GDP_2035_SSP3,GDP_2040_SSP3,GDP_2045_SSP3,GDP_2050_SSP3
安徽省,安庆市,大观区,340803.0,3696690176.0,7008368640.0,8189434880.0,8876985344.0,9363666944.0,9714922496.0,9874415616.0
安徽省,安庆市,怀宁县,340822.0,4426906112.0,3372869376.0,3941391104.0,4272417280.0,4506853888.0,4676311552.0,4753322496.0
安徽省,安庆市,潜山市,340882.0,2613739520.0,2483283200.0,2901547008.0,3145071616.0,3317351936.0,3441840384.0,3498212352.0
安徽省,安庆市,宿松县,340826.0,3570695168.0,2016338688.0,2354726400.0,2558098432.0,2700032256.0,2798467072.0,2843809792.0
安徽省,安庆市,太湖县,340825.0,2305593088.0,1952155136.0,2278669056.0,2469496320.0,2604428544.0,2701180672.0,2744962048.0
安徽省,安庆市,桐城市,340881.0,3391027712.0,5366078464.0,6270078464.0,6796399104.0,7168699904.0,7437249024.0,7559049216.0
安徽省,安庆市,望江县,340827.0,3251723264.0,2002186240.0,2339686912.0,2536266496.0,2675156736.0,2774866432.0,2819919872.0
安徽省,安庆市,宜秀区,340811.0,8294320640.0,5391581696.0,6300285952.0,6829398016.0,7204030464.0,7474791936.0,7597663744.0
安徽省,安庆市,迎江区,340802.0,8684507136.0,6187346944.0,7230187520.0,7837347328.0,8267231232.0,8577918976.0,8718968832.0
安徽省,安庆市,岳西县,340828.0,1162607872.0,1339602176.0,1563919104.0,1695255040.0,1788177536.0,1855089792.0,1885404544.0
安徽省,蚌埠市,蚌山区,340303.0,9035249664.0,19073466368.0,22288781312.0,24161183744.0,25487271936.0,26446055424.0,26881814528.0
安徽省,蚌埠市,固镇县,340323.0,2952295680.0,2858519552.0,3339437568.0,3619353600.0,3817018368.0,3959315712.0,4023171840.0
安徽省,蚌埠市,怀远县,340321.0,2941004288.0,4438857728.0,5186955776.0,5622479872.0,5930785792.0,6153472000.0,6254498816.0
安徽省,蚌埠市,淮上区,340311.0,3408388352.0,2776917248.0,3245036800.0,3517640960.0,3710706688.0,3850296576.0,3913739264.0
安徽省,蚌埠市,龙子湖区,340302.0,6183977984.0,7811059712.0,9130041344.0,9899010048.0,10443424768.0,10836789248.0,11014580224.0
安徽省,蚌埠市,五河县,340322.0,3459422720.0,3515852288.0,4092570368.0,4426014720.0,4653900288.0,4809836544.0,4869112832.0
